1713 483:0.234648532126,1061:0.269106317479,615:0.284184260605,2696:0.539507559091,585:0.205645566213,266:0.161599827697,2967:0.211911707703,213:0.253227613848,1687:0.35991391102,1661:0.314585668675,638:0.220833614919,2325:0.214447440464,
1714 312:0.929904914389,943:0.36780001386,
1715 3125:0.276642404991,3093:0.801254290184,2606:0.254424705681,799:0.465541202647,
1716 837:0.440410821754,3497:0.578614571643,171:0.355295923912,2606:0.291128662389,2619:0.383668852036,1950:0.336229989633,
1717 2683:0.357118109131,858:0.220213242462,2019:0.369838266921,581:0.373764439609,1206:0.739927418049,
1718 3469:0.274987762457,3154:0.321866179827,53:0.362252479664,1238:0.393697962746,505:0.481540476797,443:0.336492932871,380:0.328311734251,1599:0.285764988017,
1719 48:0.541719173972,2480:0.35967332805,2981:0.331087309733,3421:0.495142413867,2489:0.471583096563,
1720 1049:0.34393820659,333:0.402022499171,3150:0.785433010209,3285:0.321215514384,
1721 1992:0.444614625119,753:0.456347747433,2858:0.349591865119,203:0.508990364378,1689:0.461279639,
1722 1025:0.583166844052,3500:0.392244096242,284:0.711379646153,
1723 2305:0.352326881798,835:0.528134673824,2757:0.237040906805,3184:0.260787626011,266:0.158193283583,2320:0.327567497192,217:0.306781410678,858:0.157180618182,2173:0.449287050601,479:0.140484670313,
1724 376:0.574759851228,2920:0.374111446695,3132:0.589363829283,3400:0.427015240479,
1725 1992:0.367401345176,1546:0.41132118115,244:0.623712132937,3103:0.55390821688,
1726 732:0.559160062539,676:0.829059723097,
1727 3184:0.543105321777,3349:0.718599424736,2797:0.295193919307,943:0.318609519995,
1728 2504:0.325561561685,2252:0.876355731237,1853:0.35497929782,
1729 2619:0.506507213367,2603:0.656359180598,443:0.48744856838,479:0.273928753577,
1730 2063:0.86751344264,2797:0.338061005709,943:0.364876942624,
1731 848:0.610519334807,1450:0.504511926176,149:0.610519334807,
1732 2920:0.618242227465,277:0.518498870727,2695:0.590707600455,
1733 569:0.584540274414,3438:0.811364694566,
1734 1049:0.470675340432,436:0.649887831799,1593:0.59674997276,
1735 897:0.489209134932,388:0.373339239195,1350:0.419884496139,2825:0.271805365515,2797:0.209486675888,2073:0.533028329188,479:0.207622785032,
1736 2480:0.264217413423,2682:0.527587948964,1670:0.6798303991,566:0.339099336291,1599:0.273280777112,
1737 1992:0.610471234992,1546:0.683448094928,2797:0.400279368425,
1738 1241:0.758743760375,254:0.651389212446,
1739 1028:0.837160266227,1085:0.546957666233,
1740 3020:0.431712731115,2765:0.582009084525,3059:0.295273301786,3125:0.236183701801,2423:0.204620687514,798:0.538563695231,
1741 3088:0.620944304868,3469:0.398511466391,3381:0.60543810544,943:0.298431703892,
1742 1360:0.615849527938,3409:0.375827415877,2922:0.4653190306,2967:0.362602614563,2183:0.362602614563,
1743 3201:0.406907502958,676:0.389934582983,3173:0.341464820225,2279:0.281953144503,2606:0.224194061495,978:0.397865996226,214:0.434775795067,2079:0.297810654185,
1744 1354:0.655421566666,3500:0.384394433723,3381:0.650125748815,
1745 3400:0.496040460554,2683:0.415229898011,2515:0.373698462787,3132:0.342316008421,3378:0.56982207976,
1746 1444:0.457825289176,2298:0.709680599858,924:0.486435333013,2797:0.223897560443,
1747 1251:0.66769903524,620:0.744431325469,
1748 645:0.307026939474,2504:0.249736061642,491:0.388690573701,2668:0.45058567165,3006:0.672246526229,479:0.193243774404,
1749 2183:0.277992806843,72:0.411112327947,175:0.707743910378,858:0.210634958964,1852:0.415927775765,479:0.188261015312,
1750 577:0.658126475911,2183:0.434500801134,950:0.539902912579,479:0.294250642325,
1751 2019:0.68362934884,3446:0.729829372802,
1752 2544:0.760492387334,1644:0.649346847846,
1753 1059:0.965819411393,2797:0.259215864825,
1754 1320:0.559530444182,1984:0.545959683351,2580:0.623581354907,
1755 1546:0.33515354952,2125:0.407581517288,2579:0.399025149439,2387:0.395624763519,2906:0.44485925377,2844:0.45597108017,
1756 56:0.437212655032,2346:0.528881324488,1899:0.528881324488,3285:0.178805176324,1143:0.466307722877,
1757 2177:0.44231802242,585:0.254555826401,205:0.468418186439,1008:0.339554840906,3257:0.312419838854,1725:0.456058715529,2398:0.315035399914,
1758 2469:0.633154285751,218:0.364130137639,2757:0.392632481911,2301:0.508150041705,479:0.232697577472,
1759 1457:0.667561382876,1778:0.631796491908,932:0.393947957104,
1760 1342:1.0,
1761 1352:0.618004986034,2476:0.653602976655,3469:0.436890130518,
1762 2825:0.329973042579,2652:0.529754739407,1613:0.67826223712,638:0.387863435945,
1763 218:0.342919813782,827:0.449477530566,852:0.577851285227,1853:0.308797279813,1959:0.501106857839,
1764 1320:0.735713296442,2760:0.485014707004,557:0.472743777778,
1765 1114:0.577459055324,2858:0.337637874916,1428:0.540693439118,2525:0.510090491718,
